date,total_pos,total_neg,total_neu,number_pos,number_neg,number_neu,retweet_count,Open,High,Low,Close,Adj Close,Volume
20200121,0.0,0.0,1.0,0,0,1,1,1479.0,1489.8800048828125,1470.2099609375,1482.25,1482.25,2446500
20200122,0.11800000000000001,0.0,0.882,0,0,1,1,1489.72998046875,1500.5799560546875,1482.6600341796875,1483.8699951171875,1483.8699951171875,1422900
20200123,0.278,0.314,34.408,0,0,33,35,1487.550048828125,1493.5,1480.3199462890625,1484.68994140625,1484.68994140625,1332500
20200124,0.583,97.262,308.15500000000003,0,394,404,406,1492.8199462890625,1494.199951171875,1463.1800537109375,1466.1700439453125,1466.1700439453125,1489300
20200127,38.70600000000001,94.61899999999997,646.6869999999999,117,232,696,780,1431.5400390625,1436.5799560546875,1419.5,1431.72998046875,1431.72998046875,1706600
20200128,140.16400000000007,187.92300000000003,2874.9150000000022,365,448,2930,3203,1441.739990234375,1454.800048828125,1430.3599853515625,1450.5,1450.5,1486200
20200129,165.87899999999985,257.6540000000001,3923.474,684,1025,4097,4347,1458.4599609375,1464.1400146484375,1445.3900146484375,1456.699951171875,1456.699951171875,1078300
20200130,230.18899999999994,239.35599999999985,3658.4590000000044,928,467,3792,4128,1438.0999755859375,1455.25,1435.0,1454.25,1454.25,1355500
20200131,223.10199999999983,376.56899999999985,7141.278999999999,946,1375,7384,7741,1467.8599853515625,1469.6700439453125,1427.06005859375,1432.780029296875,1432.780029296875,2191100
20200203,207.3960000000001,145.69899999999998,2647.9119999999994,723,283,2748,3001,1461.6500244140625,1486.300048828125,1456.6099853515625,1482.5999755859375,1482.5999755859375,3608800
20200204,89.848,209.84800000000004,2944.2829999999976,225,563,3025,3244,1454.489990234375,1467.3399658203125,1422.030029296875,1445.4100341796875,1445.4100341796875,4794000
20200205,116.08300000000003,472.7070000000004,3143.22,452,1716,3540,3732,1463.6099853515625,1464.5799560546875,1429.6800537109375,1446.050048828125,1446.050048828125,1818800
20200206,196.6279999999999,351.058,4112.383000000001,1088,1833,4424,4660,1451.97998046875,1481.56005859375,1450.47998046875,1475.969970703125,1475.969970703125,1891100
20200207,704.3449999999998,1408.2609999999993,7681.4139999999925,4426,6023,9540,9794,1467.3900146484375,1485.25,1465.4100341796875,1479.1099853515625,1479.1099853515625,1418000
20200210,74.66199999999999,147.616,1130.7290000000003,147,395,1233,1353,1477.22998046875,1508.8800048828125,1475.199951171875,1508.6600341796875,1508.6600341796875,1915100
20200211,105.51799999999999,205.0630000000001,1707.3020000000008,392,638,1786,2018,1513.27001953125,1529.8800048828125,1505.449951171875,1510.06005859375,1510.06005859375,1742600
20200212,93.95899999999999,123.15200000000007,1176.9599999999998,240,306,1200,1394,1515.8599853515625,1520.300048828125,1508.6700439453125,1518.6300048828125,1518.6300048828125,1552100
20200213,94.73100000000001,182.39300000000006,1866.8600000000017,258,677,1965,2144,1510.0,1525.949951171875,1504.0,1513.3900146484375,1513.3900146484375,1145700
20200214,193.3870000000002,114.05300000000004,1519.5760000000014,579,254,1641,1827,1514.530029296875,1520.050048828125,1505.550048828125,1518.72998046875,1518.72998046875,1159900
20200218,102.923,182.64799999999997,1801.640000000001,398,695,1919,2087,1514.3399658203125,1530.56005859375,1511.010009765625,1519.43994140625,1519.43994140625,1282100
20200219,71.81699999999995,157.57899999999998,1654.6260000000009,194,604,1716,1884,1527.199951171875,1530.739990234375,1520.97998046875,1524.8699951171875,1524.8699951171875,1137300
20200220,57.11300000000002,110.01,1157.8719999999996,113,335,1181,1325,1519.010009765625,1527.0699462890625,1504.260009765625,1516.989990234375,1516.989990234375,1298100
20200221,137.99699999999999,134.046,1806.9530000000007,753,522,1907,2079,1504.5799560546875,1510.949951171875,1478.489990234375,1483.4599609375,1483.4599609375,2126000
20200224,109.67600000000004,345.56499999999977,3336.7980000000007,282,1046,3518,3792,1423.050048828125,1436.3800048828125,1406.7900390625,1419.8599853515625,1419.8599853515625,2478000
20200225,189.93700000000007,424.16699999999963,4102.047999999998,410,2001,4378,4716,1431.0,1436.8499755859375,1380.4200439453125,1386.3199462890625,1386.3199462890625,2579000
20200226,990.2429999999999,724.3979999999999,6189.156999999994,3645,3773,7558,7904,1394.97998046875,1413.6700439453125,1376.550048828125,1390.469970703125,1390.469970703125,2488800
20200227,2459.183999999999,1242.2090000000003,16160.884000000004,9403,11512,19383,19854,1359.1400146484375,1369.4000244140625,1314.239990234375,1314.949951171875,1314.949951171875,3114500
20200228,253.669,752.3089999999999,6469.971,1129,3461,6990,7476,1274.31005859375,1342.449951171875,1268.2099609375,1339.25,1339.25,4010900
20200302,1208.4429999999995,1340.058,11283.475999999993,6206,6935,13505,13832,1351.3900146484375,1387.469970703125,1325.199951171875,1386.3199462890625,1386.3199462890625,2771500
20200303,260.89700000000005,233.79099999999985,3316.2619999999993,1477,620,3484,3811,1397.6800537109375,1408.18994140625,1329.239990234375,1337.719970703125,1337.719970703125,2830100
20200304,209.9299999999998,478.6209999999998,4726.432999999998,601,1387,4930,5415,1358.9599609375,1382.780029296875,1337.0,1381.5999755859375,1381.5999755859375,2379900
20200305,651.384,429.8559999999997,8468.394999999982,3534,1596,9012,9550,1345.550048828125,1353.6300048828125,1301.6400146484375,1314.760009765625,1314.760009765625,2719000
20200306,478.41300000000007,745.6889999999999,7451.1059999999925,1762,3316,7994,8675,1269.949951171875,1302.75,1257.2099609375,1295.739990234375,1295.739990234375,3232000
20200309,844.3830000000002,1491.2209999999982,8053.248999999995,5301,5481,9801,10385,1204.9599609375,1252.72998046875,1198.0400390625,1215.7900390625,1215.7900390625,3462600
